parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zlep ,823,zLE8_TOTALSCOREinv,,0.39,0.00458159,28318,85.983681,0.00E+00,0.38,0.4,0.05,0.00003418,1,0.00E+00,1,1,540
1, zldlr ,821,zLE8_TOTALSCOREinv,,0.37,0.00563023,28414,65.55723,0.00E+00,0.36,0.38,0.05,0.00003418,1,0.00E+00,1,1,465
1, zcntn3 ,326,zLE8_TOTALSCOREinv,,0.25,0.00558271,28335,44.952888,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,379
1, zgsta3 ,626,zLE8_TOTALSCOREinv,,0.28,0.00588178,27652,47.96466,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,385
1, zezr ,500,zLE8_TOTALSCOREinv,,0.23,0.00585275,28563,39.276812,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,358
1, zscly ,1199,zLE8_TOTALSCOREinv,,0.23,0.00574182,28463,40.704647,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,360
1, zctso ,383,zLE8_TOTALSCOREinv,,0.22,0.00582987,28635,38.415475,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,356
1, zmfap5 ,902,zLE8_TOTALSCOREinv,,0.23,0.00565769,28672,41.356443,0.00E+00,0.22,0.25,0.05,0.00003418,1,0.00E+00,1,1,362
1, zprss8 ,1108,zLE8_TOTALSCOREinv,,0.28,0.00539325,28237,51.126525,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,390
1, zgolm2 ,609,zLE8_TOTALSCOREinv,,0.26,0.0057772,28563,44.535131,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,376
1, zst6gal1 ,1296,zLE8_TOTALSCOREinv,,0.23,0.00580345,28672,39.701877,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,358
1, zsiglec7 ,1239,zLE8_TOTALSCOREinv,,0.25,0.00581755,28318,42.489089,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,364
1, zcolec12 ,335,zLE8_TOTALSCOREinv,,0.22,0.00563671,28325,38.373964,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,355
1, zfstl3 ,564,zLE8_TOTALSCOREinv,,0.28,0.00560958,28263,49.09961,0.00E+00,0.26,0.29,0.05,0.00003418,1,0.00E+00,1,1,380
1, zcdhr2 ,260,zLE8_TOTALSCOREinv,,0.31,0.00504825,28196,61.043465,0.00E+00,0.3,0.32,0.05,0.00003418,1,0.00E+00,1,1,458
1, zigfbp4 ,688,zLE8_TOTALSCOREinv,,0.22,0.00560316,27997,39.461972,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,366
1, zstc1 ,1299,zLE8_TOTALSCOREinv,,0.23,0.00571221,28563,40.982446,0.00E+00,0.22,0.25,0.05,0.00003418,1,0.00E+00,1,1,360
1, zadamts15 ,21,zLE8_TOTALSCOREinv,,0.32,0.0057128,28196,56.308934,0.00E+00,0.31,0.33,0.05,0.00003418,1,0.00E+00,1,1,410
