#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04060	Cytokine-cytokine receptor interaction	26	282	1.57	5.11e-32	9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000288167,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000326737,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000431775,9606.ENSP00000472467,9606.ENSP00000474412,9606.ENSP00000478699,9606.ENSP00000484078,9606.ENSP00000499459	CCL13,CXCL6,IL1RL1,IL17C,GDF15,CCL27,IL7,IL17RB,CXCL3,CXCL5,IL15,CXCL8,TNFRSF12A,IFNL1,CXCL9,XCL1,CD40LG,CCL7,TNFRSF4,CCL8,IL32,CXCL17,CCL5,TNFRSF9,CCL15,IL19
hsa04061	Viral protein interaction with cytokine and cytokine receptor	13	96	1.74	7.89e-17	9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000259631,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000484078,9606.ENSP00000499459	CCL13,CXCL6,CCL27,CXCL3,CXCL5,CXCL8,CXCL9,XCL1,CCL7,CCL8,CCL5,CCL15,IL19
hsa04062	Chemokine signaling pathway	12	186	1.41	5.51e-12	9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000259631,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000484078	CCL13,CXCL6,CCL27,CXCL3,CXCL5,CXCL8,CXCL9,XCL1,CCL7,CCL8,CCL5,CCL15
hsa04657	IL-17 signaling pathway	7	91	1.49	3.63e-07	9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000288167,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000367832	CXCL6,IL17C,IL17RB,CXCL3,CXCL5,CXCL8,CCL7
hsa04064	NF-kappa B signaling pathway	7	101	1.45	5.74e-07	9606.ENSP00000225844,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000306512,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000479889	CCL13,VCAM1,CXCL3,CXCL8,IRAK1,CD40LG,IRAK4
hsa05133	Pertussis	6	73	1.52	2.31e-06	9606.ENSP00000226317,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000358997,9606.ENSP00000363773,9606.ENSP00000479889	CXCL6,CXCL5,CXCL8,IRAK1,C1QA,IRAK4
hsa05323	Rheumatoid arthritis	6	83	1.46	4.06e-06	9606.ENSP00000226317,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000474412	CXCL6,CXCL3,CXCL5,IL15,CXCL8,CCL5
hsa04620	Toll-like receptor signaling pathway	6	100	1.38	1.01e-05	9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000358997,9606.ENSP00000378517,9606.ENSP00000474412,9606.ENSP00000479889	CXCL8,CXCL9,IRAK1,SPP1,CCL5,IRAK4
hsa04668	TNF signaling pathway	6	111	1.34	1.61e-05	9606.ENSP00000226317,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000474412	CXCL6,VCAM1,CXCL3,CXCL5,IL15,CCL5
hsa05142	Chagas disease	5	97	1.32	0.00018	9606.ENSP00000306512,9606.ENSP00000358997,9606.ENSP00000363773,9606.ENSP00000474412,9606.ENSP00000479889	CXCL8,IRAK1,C1QA,CCL5,IRAK4
hsa05144	Malaria	4	46	1.54	0.00022	9606.ENSP00000263686,9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000359663	SELP,VCAM1,CXCL8,CD40LG
hsa04514	Cell adhesion molecules	4	138	1.07	0.0118	9606.ENSP00000263686,9606.ENSP00000294728,9606.ENSP00000359663,9606.ENSP00000402060	SELP,VCAM1,CD40LG,PVR
hsa04630	JAK-STAT signaling pathway	4	158	1.01	0.0166	9606.ENSP00000263851,9606.ENSP00000296545,9606.ENSP00000329991,9606.ENSP00000499459	IL7,IL15,IFNL1,IL19
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	3	65	1.27	0.0166	9606.ENSP00000296026,9606.ENSP00000306512,9606.ENSP00000474412	CXCL3,CXCL8,CCL5
hsa04621	NOD-like receptor signaling pathway	4	173	0.97	0.0216	9606.ENSP00000296026,9606.ENSP00000306512,9606.ENSP00000474412,9606.ENSP00000479889	CXCL3,CXCL8,CCL5,IRAK4
hsa05145	Toxoplasmosis	3	103	1.07	0.0486	9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000479889	IRAK1,CD40LG,IRAK4
