#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019221	Cytokine-mediated signaling pathway	22	369	1.38	8.91e-21	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000263851,9606.ENSP00000288167,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000380421,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078	CD74,CEACAM1,CCL13,CXCL6,IL1RL1,IL7,IL17RB,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CCL7,TNFRSF4,CCL8,IL15RA,CCL5,IRAK4,CCL15
GO:0006952	Defense response	31	1394	0.95	7.54e-20	9606.ENSP00000009530,9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000243924,9606.ENSP00000244241,9606.ENSP00000255409,9606.ENSP00000259631,9606.ENSP00000263686,9606.ENSP00000288167,9606.ENSP00000291890,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000363773,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000431775,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078	CD74,MIF,CCL13,CXCL6,PI3,IL17C,CHI3L1,CCL27,SELP,IL17RB,NCR1,VCAM1,PTX3,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CD40LG,C1QA,CCL7,TNFRSF4,CCL8,SPP1,IL32,CCL5,IRAK4,CCL15
GO:0034097	Response to cytokine	26	804	1.11	1.36e-19	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000255409,9606.ENSP00000263686,9606.ENSP00000263851,9606.ENSP00000288167,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000380421,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078	CD74,CEACAM1,CCL13,CXCL6,IL1RL1,CHI3L1,SELP,IL7,IL17RB,VCAM1,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CCL7,TNFRSF4,CCL8,IL15RA,IL18BP,CCL5,IRAK4,CCL15
GO:0071345	Cellular response to cytokine stimulus	25	711	1.15	1.37e-19	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000255409,9606.ENSP00000263851,9606.ENSP00000288167,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000380421,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078	CD74,CEACAM1,CCL13,CXCL6,IL1RL1,CHI3L1,IL7,IL17RB,VCAM1,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CCL7,TNFRSF4,CCL8,IL15RA,IL18BP,CCL5,IRAK4,CCL15
GO:0006954	Inflammatory response	22	538	1.22	4.62e-18	9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000255409,9606.ENSP00000263686,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000363773,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000474412,9606.ENSP00000484078	MIF,CCL13,CXCL6,IL17C,CHI3L1,SELP,VCAM1,PTX3,CXCL3,CXCL5,IL15,CXCL8,CXCL9,XCL1,CD40LG,C1QA,CCL7,TNFRSF4,CCL8,SPP1,CCL5,CCL15
GO:0002376	Immune system process	33	2121	0.8	2.12e-17	9606.ENSP00000009530,9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000243924,9606.ENSP00000259631,9606.ENSP00000263686,9606.ENSP00000263851,9606.ENSP00000291890,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000363773,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000380421,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000472467,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000499459	CD74,MIF,CCL13,CXCL6,IL1RL1,PI3,CCL27,SELP,IL7,NCR1,VCAM1,PTX3,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CD40LG,C1QA,CCL7,TNFRSF4,CCL8,IL15RA,IL32,IL18BP,CXCL17,CCL5,IRAK4,CCL15,IL19
GO:0006955	Immune response	28	1321	0.93	3.84e-17	9606.ENSP00000009530,9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000243924,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000363773,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000499459	CD74,MIF,CCL13,CXCL6,IL1RL1,PI3,CCL27,IL7,PTX3,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CD40LG,C1QA,CCL7,TNFRSF4,CCL8,IL32,IL18BP,CCL5,IRAK4,CCL15,IL19
GO:0002682	Regulation of immune system process	27	1438	0.88	4.94e-15	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000215754,9606.ENSP00000226317,9606.ENSP00000233954,9606.ENSP00000259631,9606.ENSP00000263686,9606.ENSP00000263851,9606.ENSP00000291890,9606.ENSP00000294728,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000363773,9606.ENSP00000364802,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000380421,9606.ENSP00000402060,9606.ENSP00000472467,9606.ENSP00000474412,9606.ENSP00000478699,9606.ENSP00000479889	CD74,CEACAM1,MIF,CXCL6,IL1RL1,CCL27,SELP,IL7,NCR1,VCAM1,IL15,CXCL8,IFNL1,XCL1,IRAK1,CD40LG,C1QA,HSPA1A,CCL7,TNFRSF4,CCL8,IL15RA,PVR,CXCL17,CCL5,TNFRSF9,IRAK4
GO:0009605	Response to external stimulus	32	2355	0.74	5.02e-15	9606.ENSP00000009530,9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000243924,9606.ENSP00000252809,9606.ENSP00000255409,9606.ENSP00000259631,9606.ENSP00000263686,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000314897,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000363773,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000434717,9606.ENSP00000472467,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000497642	CD74,MIF,RETN,CCL13,CXCL6,PI3,GDF15,CHI3L1,CCL27,SELP,VCAM1,PTX3,CXCL3,CXCL5,IL15,CXCL8,ANGPT2,IFNL1,CXCL9,XCL1,IRAK1,C1QA,CCL7,CCL8,SPP1,TYMP,IL18BP,CXCL17,CCL5,IRAK4,CCL15,LPL
GO:0070887	Cellular response to chemical stimulus	33	2609	0.71	7.27e-15	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000228434,9606.ENSP00000233954,9606.ENSP00000252809,9606.ENSP00000255409,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000288167,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000314897,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000364802,9606.ENSP00000367832,9606.ENSP00000368538,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000380421,9606.ENSP00000434717,9606.ENSP00000472467,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000497642	CD74,CEACAM1,CCL13,CXCL6,CD69,IL1RL1,GDF15,CHI3L1,CCL27,IL7,IL17RB,VCAM1,CXCL3,CXCL5,IL15,CXCL8,ANGPT2,IFNL1,CXCL9,XCL1,IRAK1,HSPA1A,CCL7,TNFRSF4,CCL8,SPP1,IL15RA,IL18BP,CXCL17,CCL5,IRAK4,CCL15,LPL
