#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	Protein binding	54	7242	0.37	7.89e-12	9606.ENSP00000001008,9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000252483,9606.ENSP00000254322,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000264896,9606.ENSP00000276420,9606.ENSP00000280362,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000376024,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000444810,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000482169,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,TNFRSF1A,CDC37,NCK2,PSPN,NECTIN2,DNAJB1,TSHB,KDR,SCARB2,DOK2,PTS,STAT5B,ITGA5,TLR3,INPPL1,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PTPN1,ABL1,SRC,OGN,HNRNPK,SNX9,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,MAVS,LYN,BRK1,ADM,DAG1,FKBP5,ADAM8,YES1,NEFL,IKBKG,ITGAM
GO:0050839	Cell adhesion molecule binding	19	560	1.03	2.52e-11	9606.ENSP00000252483,9606.ENSP00000254322,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000376024,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000386896,9606.ENSP00000428924,9606.ENSP00000453302,9606.ENSP00000496959	NECTIN2,DNAJB1,KDR,ITGA5,ITGA11,CRKL,GFRA1,ADAM15,CD2AP,PTPN1,SRC,HNRNPK,SNX9,ITGB1,USP8,ITGA6,LYN,ADAM8,ITGAM
GO:0005102	Signaling receptor binding	27	1499	0.75	3.92e-11	9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293379,9606.ENSP00000313391,9606.ENSP00000320509,9606.ENSP00000327290,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000379350,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	NCK2,PSPN,TSHB,KDR,DOK2,ITGA5,DAB2,BANK1,ITGA11,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PTPN1,ABL1,SRC,OGN,ITGB1,NPY,ITGA6,LYN,ADM,YES1,IKBKG,ITGAM
GO:0005178	Integrin binding	10	159	1.29	1.71e-07	9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000428924,9606.ENSP00000496959	KDR,ITGA5,ITGA11,GFRA1,ADAM15,SRC,ITGB1,ITGA6,LYN,ITGAM
GO:0044877	Protein-containing complex binding	21	1261	0.72	1.89e-07	9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000308782,9606.ENSP00000320176,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376024,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000482169,9606.ENSP00000496959	NCK2,KDR,ITGA5,GP6,HCLS1,STK11,ITGA11,GFRA1,ADAM15,CD2AP,PTPN1,ABL1,SRC,SNX9,WASF1,ITGB1,ITGA6,LYN,BRK1,NEFL,ITGAM
GO:1990782	Protein tyrosine kinase binding	9	120	1.37	2.35e-07	9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000276420,9606.ENSP00000308782,9606.ENSP00000320509,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000360683,9606.ENSP00000379350	NCK2,PSPN,DOK2,GP6,BANK1,SH2B3,CRKL,PTPN1,ITGB1
GO:0019901	Protein kinase binding	16	702	0.85	4.10e-07	9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000276420,9606.ENSP00000308782,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000389377,9606.ENSP00000401980	CDC37,NCK2,PSPN,DOK2,GP6,HCLS1,BANK1,SH2B3,CRKL,PTPN1,ABL1,SRC,LAT,ITGB1,NFATC1,MAVS
GO:0051219	Phosphoprotein binding	8	92	1.43	6.14e-07	9606.ENSP00000001008,9606.ENSP00000233154,9606.ENSP00000339186,9606.ENSP00000346300,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000428924,9606.ENSP00000462468	FKBP4,NCK2,GRAP2,CRKL,ABL1,SRC,LYN,YES1
GO:0019899	Enzyme binding	25	2084	0.57	1.04e-06	9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000254322,9606.ENSP00000264896,9606.ENSP00000276420,9606.ENSP00000308782,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376024,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000462468,9606.ENSP00000482169,9606.ENSP00000483825	CDC37,NCK2,PSPN,DNAJB1,SCARB2,DOK2,GP6,MET,HCLS1,BANK1,PLAUR,SH2B3,CRKL,PTPN1,ABL1,SRC,SNX9,LAT,ITGB1,NFATC1,MAVS,LYN,YES1,NEFL,IKBKG
GO:0019904	Protein domain specific binding	15	695	0.83	2.04e-06	9606.ENSP00000298229,9606.ENSP00000320176,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000379721,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000482169,9606.ENSP00000483825	INPPL1,HCLS1,STK11,PLAUR,ADAM15,CD2AP,ABL1,SRC,HNRNPK,USP8,MAVS,LYN,DAG1,NEFL,IKBKG
