#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05100	Bacterial invasion of epithelial cells	8	70	1.55	4.45e-08	9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000346300,9606.ENSP00000352264,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000379350	ITGA5,MET,HCLS1,CRKL,CD2AP,SRC,WASF1,ITGB1
hsa05130	Pathogenic Escherichia coli infection	9	187	1.18	1.94e-06	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000320176,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000432472,9606.ENSP00000483825	TNFRSF1A,NCK2,HCLS1,ABL1,SRC,WASF1,ITGB1,BRK1,IKBKG
hsa04810	Regulation of actin cytoskeleton	9	209	1.13	3.24e-06	9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000432472,9606.ENSP00000496959	ITGA5,ITGA11,CRKL,SRC,WASF1,ITGB1,ITGA6,BRK1,ITGAM
hsa05131	Shigellosis	9	218	1.11	3.45e-06	9606.ENSP00000162749,9606.ENSP00000293379,9606.ENSP00000320176,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000483825	TNFRSF1A,ITGA5,HCLS1,CRKL,SRC,AKT1S1,WASF1,ITGB1,IKBKG
hsa04520	Adherens junction	6	69	1.43	9.38e-06	9606.ENSP00000252483,9606.ENSP00000317272,9606.ENSP00000360683,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000462468	NECTIN2,MET,PTPN1,SRC,WASF1,YES1
hsa05135	Yersinia infection	7	124	1.25	1.09e-05	9606.ENSP00000005587,9606.ENSP00000293379,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000389377,9606.ENSP00000483825	SKAP2,ITGA5,CRKL,SRC,ITGB1,NFATC1,IKBKG
hsa04510	Focal adhesion	8	195	1.11	1.19e-05	9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000386896	KDR,ITGA5,MET,ITGA11,CRKL,SRC,ITGB1,ITGA6
hsa05205	Proteoglycans in cancer	8	194	1.11	1.19e-05	9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000339328,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000447730	KDR,ITGA5,MET,HCLS1,PLAUR,SRC,ITGB1,CD63
hsa04512	ECM-receptor interaction	6	88	1.33	2.01e-05	9606.ENSP00000293379,9606.ENSP00000308782,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000442600	ITGA5,GP6,ITGA11,ITGB1,ITGA6,DAG1
hsa04151	PI3K-Akt signaling pathway	9	349	0.91	6.38e-05	9606.ENSP00000222005,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000483825	CDC37,KDR,ITGA5,MET,STK11,ITGA11,ITGB1,ITGA6,IKBKG
hsa05220	Chronic myeloid leukemia	5	75	1.32	0.00017	9606.ENSP00000293328,9606.ENSP00000303507,9606.ENSP00000346300,9606.ENSP00000361423,9606.ENSP00000483825	STAT5B,BCR,CRKL,ABL1,IKBKG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	5	77	1.31	0.00018	9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000442600	ITGA5,ITGA11,ITGB1,ITGA6,DAG1
hsa04012	ErbB signaling pathway	5	81	1.29	0.00021	9606.ENSP00000233154,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000361423,9606.ENSP00000362680	NCK2,STAT5B,CRKL,ABL1,SRC
hsa05410	Hypertrophic cardiomyopathy	5	88	1.25	0.00028	9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000442600	ITGA5,ITGA11,ITGB1,ITGA6,DAG1
hsa04666	Fc gamma R-mediated phagocytosis	5	90	1.24	0.00029	9606.ENSP00000298229,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000376367,9606.ENSP00000428924	INPPL1,CRKL,PLA2G4A,WASF1,LYN
hsa05161	Hepatitis B	6	158	1.07	0.00029	9606.ENSP00000293328,9606.ENSP00000296795,9606.ENSP00000362680,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000483825	STAT5B,TLR3,SRC,NFATC1,MAVS,IKBKG
hsa05414	Dilated cardiomyopathy	5	94	1.22	0.00031	9606.ENSP00000293379,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000442600	ITGA5,ITGA11,ITGB1,ITGA6,DAG1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	6	187	1.0	0.00064	9606.ENSP00000162749,9606.ENSP00000296795,9606.ENSP00000362680,9606.ENSP00000389377,9606.ENSP00000428924,9606.ENSP00000483825	TNFRSF1A,TLR3,SRC,NFATC1,LYN,IKBKG
hsa04010	MAPK signaling pathway	7	286	0.88	0.00071	9606.ENSP00000162749,9606.ENSP00000263923,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000389377,9606.ENSP00000483825	TNFRSF1A,KDR,MET,CRKL,PLA2G4A,NFATC1,IKBKG
hsa04015	Rap1 signaling pathway	6	201	0.97	0.00085	9606.ENSP00000263923,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000496959	KDR,MET,CRKL,SRC,ITGB1,ITGAM
hsa04611	Platelet activation	5	122	1.11	0.00085	9606.ENSP00000308782,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000428924	GP6,PLA2G4A,SRC,ITGB1,LYN
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	4	65	1.28	0.0011	9606.ENSP00000317272,9606.ENSP00000362680,9606.ENSP00000428924,9606.ENSP00000483825	MET,SRC,LYN,IKBKG
hsa04014	Ras signaling pathway	6	225	0.92	0.0012	9606.ENSP00000263923,9606.ENSP00000317272,9606.ENSP00000356436,9606.ENSP00000361423,9606.ENSP00000393847,9606.ENSP00000483825	KDR,MET,PLA2G4A,ABL1,PLA2G10,IKBKG
hsa04514	Cell adhesion molecules	5	138	1.05	0.0012	9606.ENSP00000252483,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000480132,9606.ENSP00000496959	NECTIN2,ITGB1,ITGA6,NCAM1,ITGAM
hsa04920	Adipocytokine signaling pathway	4	68	1.26	0.0012	9606.ENSP00000162749,9606.ENSP00000324856,9606.ENSP00000384364,9606.ENSP00000483825	TNFRSF1A,STK11,NPY,IKBKG
hsa05165	Human papillomavirus infection	7	324	0.83	0.0012	9606.ENSP00000162749,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000483825	TNFRSF1A,ITGA5,TLR3,ITGA11,ITGB1,ITGA6,IKBKG
hsa04662	B cell receptor signaling pathway	4	78	1.21	0.0017	9606.ENSP00000298229,9606.ENSP00000389377,9606.ENSP00000428924,9606.ENSP00000483825	INPPL1,NFATC1,LYN,IKBKG
hsa05206	MicroRNAs in cancer	5	159	0.99	0.0021	9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000361423,9606.ENSP00000365458	ITGA5,MET,CRKL,ABL1,HNRNPK
hsa05164	Influenza A	5	163	0.98	0.0023	9606.ENSP00000162749,9606.ENSP00000254322,9606.ENSP00000296795,9606.ENSP00000401980,9606.ENSP00000483825	TNFRSF1A,DNAJB1,TLR3,MAVS,IKBKG
hsa05200	Pathways in cancer	8	515	0.69	0.0028	9606.ENSP00000293328,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000361423,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000483825	STAT5B,BCR,MET,CRKL,ABL1,ITGB1,ITGA6,IKBKG
hsa04360	Axon guidance	5	176	0.95	0.0030	9606.ENSP00000233154,9606.ENSP00000317272,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000379350	NCK2,MET,ABL1,SRC,ITGB1
hsa04062	Chemokine signaling pathway	5	186	0.92	0.0035	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000428924,9606.ENSP00000483825	STAT5B,CRKL,SRC,LYN,IKBKG
hsa04625	C-type lectin receptor signaling pathway	4	101	1.09	0.0035	9606.ENSP00000298527,9606.ENSP00000362680,9606.ENSP00000389377,9606.ENSP00000483825	CLEC1B,SRC,NFATC1,IKBKG
hsa04660	T cell receptor signaling pathway	4	100	1.1	0.0035	9606.ENSP00000233154,9606.ENSP00000339186,9606.ENSP00000389377,9606.ENSP00000483825	NCK2,GRAP2,NFATC1,IKBKG
hsa05145	Toxoplasmosis	4	103	1.08	0.0035	9606.ENSP00000162749,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000483825	TNFRSF1A,ITGB1,ITGA6,IKBKG
hsa05203	Viral carcinogenesis	5	183	0.93	0.0035	9606.ENSP00000293328,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000428924,9606.ENSP00000483825	STAT5B,SRC,HNRNPK,LYN,IKBKG
hsa05163	Human cytomegalovirus infection	5	217	0.86	0.0064	9606.ENSP00000162749,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000389377,9606.ENSP00000483825	TNFRSF1A,CRKL,SRC,NFATC1,IKBKG
hsa04370	VEGF signaling pathway	3	56	1.22	0.0076	9606.ENSP00000263923,9606.ENSP00000356436,9606.ENSP00000362680	KDR,PLA2G4A,SRC
hsa05418	Fluid shear stress and atherosclerosis	4	129	0.99	0.0076	9606.ENSP00000162749,9606.ENSP00000263923,9606.ENSP00000362680,9606.ENSP00000483825	TNFRSF1A,KDR,SRC,IKBKG
