PROTEINS,LE8z_revTOTAL,LE8z_revLIFESTYLE,LE8z_revBIOLOGICAL,LE8z_revDIET,LE8z_revPA,LE8z_revSMOKING,LE8z_revSLEEP,LE8z_revBMI,LE8z_revLIPIDS,LE8z_revGLUCOSE,LE8z_revBP
ACVRL1,0.22,0.18,0.14,0.07,0.07,0.22,0.05,0.17,0.05,0.09,0.02
ADM,0.32,0.18,0.28,0.11,0.12,0.08,0.06,0.37,0.04,0.12,0.05
CA14,-0.22,-0.14,-0.18,-0.09,-0.12,-0.04,-0.03,-0.24,0.05,-0.12,-0.06
COL6A3,0.25,0.12,0.24,0.08,0.09,0.02,0.06,0.33,0.03,0.15,0.03
FSTL3,0.28,0.15,0.25,0.1,0.11,0.04,0.05,0.33,0.02,0.14,0.07
GDF15,0.21,0.19,0.12,0.09,0.11,0.17,0.05,0.17,-0.06,0.28,0.01
GFRFA1,0.24,0.13,0.22,0.07,0.11,0.05,0.05,0.22,0.07,0.17,0.05
PLAUR,0.22,0.22,0.1,0.08,0.1,0.27,0.05,0.15,-0.02,0.14,0.01
TGFA,0.22,0.16,0.16,0.09,0.1,0.12,0.04,0.18,0.04,0.14,0.02
TNFRSF1A,0.22,0.14,0.18,0.08,0.11,0.06,0.05,0.28,-0.02,0.17,0.02
TNFRS6B,0.22,0.15,0.18,0.08,0.08,0.11,0.04,0.18,0.04,0.12,0.07
