PROTEINS,LE8z_revTOTAL,LE8z_revLIFESTYLE,LE8z_revBIOLOGICAL,LE8z_revDIET,LE8z_revPA,LE8z_revSMOKING,LE8z_revSLEEP,LE8z_revBMI,LE8z_revLIPIDS,LE8z_revGLUCOSE,LE8z_revBP
ACY1,0.31,0.12,0.34,0.1,0.08,0.01,0.04,0.27,0.09,0.21,0.13
ADH4,0.3,0.1,0.34,0.08,0.09,-0.01,0.03,0.28,0.12,0.16,0.11
ALDH1A1,0.21,0.09,0.23,0.06,0.06,0.01,0.03,0.18,0.08,0.15,0.08
C19ORF12,0.23,0.09,0.24,0.07,0.07,0,0.03,0.21,0.07,0.14,0.08
CA5A,0.21,0.09,0.21,0.07,0.07,-0.02,0.04,0.2,0.05,0.12,0.08
CCL7,0.2,0.1,0.19,0.06,0.06,0.06,0.03,0.18,0.08,0.11,0.04
CD99L2,0.26,0.13,0.26,0.13,0.07,0.02,0.05,0.2,0.13,0.05,0.11
CDHR2,0.31,0.13,0.32,0.1,0.08,0.03,0.03,0.29,0.12,0.13,0.1
CDHR5,0.2,0.05,0.25,0.04,0.06,-0.04,0.02,0.19,0.13,0.07,0.05
CES1,0.35,0.12,0.39,0.1,0.09,-0.02,0.04,0.29,0.16,0.2,0.14
CNTN3,0.25,0.04,0.33,0.05,0.05,-0.06,0.02,0.23,0.15,0.15,0.11
CPM,0.33,0.11,0.38,0.07,0.11,-0.01,0.05,0.31,0.12,0.22,0.13
CREG1,0.23,0.11,0.22,0.08,0.07,0.06,0.03,0.16,0.13,0.02,0.08
CRHBP,0.23,0.11,0.22,0.08,0.08,0.03,0.03,0.21,0.08,0.14,0.05
CTSD,0.28,0.15,0.27,0.11,0.08,0.08,0.04,0.22,0.06,0.21,0.1
CXCL17,0.21,0.28,0.03,0.1,0.05,0.48,0.02,-0.06,0.1,0.04,-0.03
DCXR,0.23,0.07,0.27,0.05,0.05,-0.01,0.02,0.19,0.12,0.12,0.1
ERBB2,0.28,0.09,0.32,0.07,0.06,0.04,0.03,0.18,0.17,0.12,0.15
ESM1,-0.21,-0.12,-0.19,-0.06,-0.03,-0.14,-0.01,-0.12,-0.09,-0.12,-0.05
F7,0.26,0.08,0.3,0.07,0.06,0,0.04,0.16,0.23,0.07,0.1
FURIN,0.36,0.14,0.39,0.09,0.1,0.04,0.03,0.33,0.17,0.16,0.1
GSTA1,0.31,0.1,0.35,0.07,0.09,-0.02,0.04,0.31,0.1,0.18,0.11
GSTA3,0.28,0.09,0.33,0.07,0.08,-0.03,0.03,0.28,0.11,0.16,0.11
GUSB,0.33,0.13,0.35,0.1,0.1,0.03,0.04,0.29,0.13,0.2,0.11
HAO1,0.2,0.08,0.21,0.07,0.07,-0.01,0.03,0.17,0.07,0.15,0.08
IFNLR1,0.2,0.09,0.21,0.07,0.05,0.04,0.02,0.15,0.1,0.08,0.06
IGFBP2,-0.3,-0.04,-0.4,-0.05,-0.06,0.09,0,-0.32,-0.12,-0.14,-0.13
IGSF3,0.27,0.08,0.32,0.07,0.09,-0.02,0.04,0.3,0.06,0.28,0.1
IL13RA1,0.22,0.06,0.26,0.06,0.03,0.04,0.02,0.18,0.14,0.09,0.09
IL16,0.22,0.08,0.24,0.04,0.05,0.05,0.03,0.18,0.11,0.09,0.08
INHBC,0.33,0.13,0.35,0.09,0.1,0.01,0.05,0.31,0.14,0.15,0.08
ITGA5,0.26,0.08,0.3,0.07,0.08,-0.02,0.04,0.26,0.11,0.19,0.09
