#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005125	Cytokine activity	22	234	1.58	2.17e-25	9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000431775,9606.ENSP00000474412,9606.ENSP00000484078,9606.ENSP00000499459	MIF,CCL13,CXCL6,IL17C,GDF15,CCL27,IL7,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,CD40LG,CCL7,CCL8,SPP1,IL32,CCL5,CCL15,IL19
GO:0030545	Signaling receptor regulator activity	25	552	1.26	2.12e-22	9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000484078,9606.ENSP00000499459	MIF,RETN,CCL13,CXCL6,IL17C,GDF15,CCL27,IL7,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,CD40LG,CCL7,CCL8,SPP1,TYMP,IL32,IL18BP,CCL5,CCL15,IL19
GO:0048018	Receptor ligand activity	24	499	1.29	4.73e-22	9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000431775,9606.ENSP00000474412,9606.ENSP00000484078,9606.ENSP00000499459	MIF,RETN,CCL13,CXCL6,IL17C,GDF15,CCL27,IL7,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,CD40LG,CCL7,CCL8,SPP1,TYMP,IL32,CCL5,CCL15,IL19
GO:0005102	Signaling receptor binding	31	1499	0.92	7.95e-20	9606.ENSP00000009530,9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000294728,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000314897,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000364802,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000497642,9606.ENSP00000499459	CD74,MIF,RETN,CCL13,CXCL6,IL17C,GDF15,CCL27,IL7,VCAM1,CXCL3,CXCL5,IL15,CXCL8,ANGPT2,IFNL1,CXCL9,XCL1,CD40LG,HSPA1A,CCL7,CCL8,SPP1,TYMP,IL32,IL18BP,CCL5,IRAK4,CCL15,LPL,IL19
GO:0005126	Cytokine receptor binding	18	270	1.43	3.31e-18	9606.ENSP00000215754,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000479889,9606.ENSP00000484078	MIF,CCL13,CXCL6,CCL27,IL7,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,CD40LG,CCL7,CCL8,CCL5,IRAK4,CCL15
GO:0008009	Chemokine activity	12	48	2.0	1.14e-17	9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000259631,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000484078	CCL13,CXCL6,CCL27,CXCL3,CXCL5,CXCL8,CXCL9,XCL1,CCL7,CCL8,CCL5,CCL15
GO:0098772	Molecular function regulator activity	27	1960	0.74	3.00e-12	9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000243924,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000484078,9606.ENSP00000499459	MIF,RETN,CCL13,CXCL6,PI3,IL17C,GDF15,CCL27,IL7,CXCL3,CXCL5,IL15,CXCL8,IFNL1,CXCL9,XCL1,IRAK1,CD40LG,CCL7,CCL8,SPP1,TYMP,IL32,IL18BP,CCL5,CCL15,IL19
GO:0001664	G protein-coupled receptor binding	13	295	1.25	1.97e-10	9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000259631,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000364802,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000484078	CCL13,CXCL6,CCL27,CXCL3,CXCL5,CXCL8,CXCL9,XCL1,HSPA1A,CCL7,CCL8,CCL5,CCL15
GO:0005515	Protein binding	41	7242	0.36	9.36e-09	9606.ENSP00000009530,9606.ENSP00000161559,9606.ENSP00000215754,9606.ENSP00000221515,9606.ENSP00000225844,9606.ENSP00000226317,9606.ENSP00000228434,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000252809,9606.ENSP00000259631,9606.ENSP00000263686,9606.ENSP00000263851,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297258,9606.ENSP00000306512,9606.ENSP00000314897,9606.ENSP00000329991,9606.ENSP00000354901,9606.ENSP00000356792,9606.ENSP00000358997,9606.ENSP00000359663,9606.ENSP00000364802,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000378517,9606.ENSP00000379038,9606.ENSP00000380421,9606.ENSP00000402060,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000474412,9606.ENSP00000478699,9606.ENSP00000479889,9606.ENSP00000484078,9606.ENSP00000497642,9606.ENSP00000499459	CD74,CEACAM1,MIF,RETN,CCL13,CXCL6,CD69,IL1RL1,IL17C,GDF15,CCL27,SELP,IL7,VCAM1,PTX3,CXCL3,CXCL5,IL15,FABP5,CXCL8,ANGPT2,IFNL1,CXCL9,XCL1,IRAK1,CD40LG,HSPA1A,CCL7,CCL8,SPP1,TYMP,IL15RA,PVR,IL32,IL18BP,CCL5,TNFRSF9,IRAK4,CCL15,LPL,IL19
GO:0048020	CCR chemokine receptor binding	7	47	1.78	2.47e-08	9606.ENSP00000225844,9606.ENSP00000259631,9606.ENSP00000356792,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000474412,9606.ENSP00000484078	CCL13,CCL27,XCL1,CCL7,CCL8,CCL5,CCL15
GO:0045236	CXCR chemokine receptor binding	5	18	2.05	9.41e-07	9606.ENSP00000226317,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000306512,9606.ENSP00000354901	CXCL6,CXCL3,CXCL5,CXCL8,CXCL9
GO:0008201	Heparin binding	7	173	1.21	0.00010	9606.ENSP00000226317,9606.ENSP00000263686,9606.ENSP00000306512,9606.ENSP00000367832,9606.ENSP00000378118,9606.ENSP00000484078,9606.ENSP00000497642	CXCL6,SELP,CXCL8,CCL7,CCL8,CCL15,LPL
