#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	49	ANGPT2	9606.ENSP00000314897	Angiopoietin-2; Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling. Can induce tyrosine phosphorylation of TEK/TIE2 in the absence of ANGPT1. In the absence of angiogenic inducers, such as VEGF, ANGPT2-mediated loosening of cell-matrix contacts may induce endothelial cell apoptosis with consequent vascular regression. In concert with VEGF, it may facilitate endothelial cell migration and proliferation, thus serving as a permissive angiogenic signal.
kmeans	1	Red	49	C1QA	9606.ENSP00000363773	Complement C1q subcomponent subunit A; C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.
kmeans	1	Red	49	CCL13	9606.ENSP00000225844	C-C motif chemokine 13, medium chain; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils, but not neutrophils. Signals through CCR2B and CCR3 receptors. Plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis. May play a role in the monocyte attraction in tissues chronically exposed to exogenous pathogens; Belongs to the intercrine beta (chemokine CC) family.
kmeans	1	Red	49	CCL15	9606.ENSP00000484078	C-C motif chemokine 15; Chemotactic factor that attracts T-cells and monocytes, but not neutrophils, eosinophils, or B-cells. Acts mainly via CC chemokine receptor CCR1. Also binds to CCR3. CCL15(22-92), CCL15(25-92) and CCL15(29-92) are more potent chemoattractants than the small-inducible cytokine A15; Belongs to the intercrine beta (chemokine CC) family.
kmeans	1	Red	49	CCL27	9606.ENSP00000259631	C-C motif chemokine 27; Chemotactic factor that attracts skin-associated memory T- lymphocytes. May play a role in mediating homing of lymphocytes to cutaneous sites. Binds to CCR10.
kmeans	1	Red	49	CCL5	9606.ENSP00000474412	C-C motif chemokine 5; Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant RANTES protein induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV). The processed form RANTES(3-68) acts as a natural chemotaxis inhibitor and is a more potent inhibitor of HIV-1-infection. The second [...] 
kmeans	1	Red	49	CCL7	9606.ENSP00000367832	C-C motif chemokine 7; Chemotactic factor that attracts monocytes and eosinophils, but not neutrophils. Augments monocyte anti-tumor activity. Also induces the release of gelatinase B. This protein can bind heparin. Binds to CCR1, CCR2 and CCR3.
kmeans	1	Red	49	CCL8	9606.ENSP00000378118	C-C motif chemokine 8; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils. May play a role in neoplasia and inflammatory host responses. This protein can bind heparin. The processed form MCP-2(6-76) does not show monocyte chemotactic activity, but inhibits the chemotactic effect most predominantly of CCL7, and also of CCL2 and CCL5 and CCL8.
kmeans	1	Red	49	CD40LG	9606.ENSP00000359663	CD40 ligand, membrane form; Cytokine that acts as a ligand to CD40/TNFRSF5. Costimulates T-cell proliferation and cytokine production. Its cross-linking on T-cells generates a costimulatory signal which enhances the production of IL4 and IL10 in conjunction with the TCR/CD3 ligation and CD28 costimulation. Induces the activation of NF-kappa-B. Induces the activation of kinases MAPK8 and PAK2 in T-cells. Induces tyrosine phosphorylation of isoform 3 of CD28. Mediates B-cell proliferation in the absence of co-stimulus as well as IgE production in the presence of IL4 (By similarity). Invo [...] 
kmeans	1	Red	49	CD69	9606.ENSP00000228434	Early activation antigen CD69; Involved in lymphocyte proliferation and functions as a signal transmitting receptor in lymphocytes, natural killer (NK) cells, and platelets.
kmeans	1	Red	49	CD74	9606.ENSP00000009530	HLA class II histocompatibility antigen gamma chain; Plays a critical role in MHC class II antigen processing by stabilizing peptide-free class II alpha/beta heterodimers in a complex soon after their synthesis and directing transport of the complex from the endoplasmic reticulum to the endosomal/lysosomal system where the antigen processing and binding of antigenic peptides to MHC class II takes place. Serves as cell surface receptor for the cytokine MIF.
kmeans	1	Red	49	CEACAM1	9606.ENSP00000161559	Carcinoembryonic antigen-related cell adhesion molecule 1; [Isoform 1]: Cell adhesion protein that mediates homophilic cell adhesion in a calcium-independent manner (By similarity). Plays a role as coinhibitory receptor in immune response, insulin action and functions also as an activator during angiogenesis. Its coinhibitory receptor function is phosphorylation- and PTPN6 -dependent, which in turn, suppress signal transduction of associated receptors by dephosphorylation of their downstream effectors. Plays a role in immune response, of T cells, natural killer (NK) and neutrophils. Up [...] 
kmeans	1	Red	49	CHI3L1	9606.ENSP00000255409	Chitinase-3-like protein 1; Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling  [...] 
kmeans	1	Red	49	CXCL17	9606.ENSP00000472467	C-X-C motif chemokine 17; Chemokine that acts as chemoattractant for monocytes, macrophages and dendritic cells. Plays a role in angiogenesis and possibly in the development of tumors. Acts as an anti-inflammatory in the stomach. May play a role in the innate defense against infections. Activates the C-X-C chemokine receptor GPR35 to induce a rapid and transient rise in the level of intracellular calcium ions. Belongs to the intercrine alpha (chemokine CxC) family.
kmeans	1	Red	49	CXCL3	9606.ENSP00000296026	C-X-C motif chemokine 3; Ligand for CXCR2 (By similarity). Has chemotactic activity for neutrophils. May play a role in inflammation and exert its effects on endothelial cells in an autocrine fashion. In vitro, the processed form GRO-gamma(5-73) shows a fivefold higher chemotactic activity for neutrophilic granulocytes.
kmeans	1	Red	49	CXCL5	9606.ENSP00000296027	C-X-C motif chemokine 5; Involved in neutrophil activation. In vitro, ENA-78(8-78) and ENA-78(9-78) show a threefold higher chemotactic activity for neutrophil granulocytes; Belongs to the intercrine alpha (chemokine CxC) family.
kmeans	1	Red	49	CXCL6	9606.ENSP00000226317	Small-inducible cytokine B6, N-processed variant 1; Chemotactic for neutrophil granulocytes. Signals through binding and activation of its receptors (CXCR1 and CXCR2). In addition to its chemotactic and angiogenic properties, it has strong antibacterial activity against Gram-positive and Gram-negative bacteria (90-fold-higher when compared to CXCL5 and CXCL7).
kmeans	1	Red	49	CXCL8	9606.ENSP00000306512	Interleukin-8; IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes. It is also involved in neutrophil activation. It is released from several cell types in response to an inflammatory stimulus. IL-8(6-77) has a 5-10-fold higher activity on neutrophil activation, IL-8(5-77) has increased activity on neutrophil activation and IL-8(7-77) has a higher affinity to receptors CXCR1 and CXCR2 as compared to IL-8(1-77), respectively.
kmeans	1	Red	49	CXCL9	9606.ENSP00000354901	C-X-C motif chemokine 9; Cytokine that affects the growth, movement, or activation state of cells that participate in immune and inflammatory response. Chemotactic for activated T-cells. Binds to CXCR3; Belongs to the intercrine alpha (chemokine CxC) family.
