#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0050896	Response to stimulus	59	7835	0.37	3.21e-15	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000254322,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000444810,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000480132,9606.ENSP00000482169,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,CDC37,NCK2,PSPN,DNAJB1,TSHB,KDR,DOK2,STAT5B,ITGA5,TLR3,INPPL1,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,PLA2G10,MAVS,LYN,BRK1,ADM,DAG1,FKBP5,CD63,ADAM8,YES1,NCAM1,NEFL,IKBKG,ITGAM
GO:0051716	Cellular response to stimulus	55	6357	0.43	3.21e-15	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000254322,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000356436,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000482169,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,CDC37,NCK2,PSPN,DNAJB1,TSHB,KDR,DOK2,STAT5B,ITGA5,TLR3,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PLA2G4A,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,PLA2G10,MAVS,LYN,BRK1,ADM,DAG1,CD63,ADAM8,YES1,NEFL,IKBKG,ITGAM
GO:0048583	Regulation of response to stimulus	45	3931	0.55	1.03e-14	9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000252483,9606.ENSP00000254322,9606.ENSP00000263923,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000352264,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000480132,9606.ENSP00000483825,9606.ENSP00000496959	TNFRSF1A,CDC37,NCK2,NECTIN2,DNAJB1,KDR,STAT5B,ITGA5,TLR3,INPPL1,BCR,DAB2,MET,HCLS1,BANK1,STK11,GRAP2,PLAUR,SH2B3,CRKL,CD2AP,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,HNRNPK,AKT1S1,WASF1,ITGB1,USP8,NPY,ITGA6,NFATC1,PLA2G10,MAVS,LYN,ADM,DAG1,CD63,ADAM8,YES1,NCAM1,IKBKG,ITGAM
GO:0023052	Signaling	49	5057	0.48	3.41e-14	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,NCK2,PSPN,TSHB,KDR,DOK2,STAT5B,ITGA5,TLR3,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,SH2D1A,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,MAVS,LYN,BRK1,ADM,DAG1,YES1,IKBKG,ITGAM
GO:0007154	Cell communication	49	5165	0.47	6.91e-14	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,NCK2,PSPN,TSHB,KDR,DOK2,STAT5B,ITGA5,TLR3,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,SH2D1A,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,MAVS,LYN,BRK1,ADM,DAG1,YES1,IKBKG,ITGAM
GO:0007165	Signal transduction	47	4714	0.49	1.00e-13	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,NCK2,PSPN,TSHB,KDR,DOK2,STAT5B,ITGA5,TLR3,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,MAVS,LYN,BRK1,ADM,YES1,IKBKG,ITGAM
GO:0009966	Regulation of signal transduction	39	2978	0.61	1.00e-13	9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000252483,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000352264,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000480132,9606.ENSP00000483825	TNFRSF1A,CDC37,NCK2,NECTIN2,KDR,ITGA5,TLR3,INPPL1,BCR,DAB2,MET,HCLS1,BANK1,STK11,GRAP2,PLAUR,SH2B3,CRKL,CD2AP,SH2D1A,PTPN1,ABL1,SRC,HNRNPK,AKT1S1,WASF1,ITGB1,USP8,NPY,ITGA6,NFATC1,MAVS,LYN,ADM,DAG1,CD63,ADAM8,NCAM1,IKBKG
GO:0042325	Regulation of phosphorylation	27	1251	0.83	5.93e-13	9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000375711,9606.ENSP00000376024,9606.ENSP00000378845,9606.ENSP00000386896,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000453302,9606.ENSP00000462468	TNFRSF1A,CDC37,NCK2,KDR,ITGA5,TLR3,DAB2,MET,HCLS1,BANK1,STK11,PLAUR,SH2B3,CRKL,GFRA1,PTPN1,ABL1,SRC,AKT1S1,SNX9,LAT,ITGA6,MAVS,LYN,DAG1,ADAM8,YES1
GO:0042327	Positive regulation of phosphorylation	23	826	0.94	8.70e-13	9606.ENSP00000162749,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376024,9606.ENSP00000378845,9606.ENSP00000386896,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000453302,9606.ENSP00000462468	TNFRSF1A,KDR,ITGA5,TLR3,DAB2,MET,HCLS1,BANK1,STK11,PLAUR,CRKL,GFRA1,PTPN1,ABL1,SRC,SNX9,LAT,ITGA6,MAVS,LYN,DAG1,ADAM8,YES1
GO:0001932	Regulation of protein phosphorylation	25	1108	0.85	3.30e-12	9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000375711,9606.ENSP00000376024,9606.ENSP00000378845,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000453302,9606.ENSP00000462468	TNFRSF1A,CDC37,NCK2,KDR,ITGA5,TLR3,DAB2,HCLS1,BANK1,STK11,PLAUR,SH2B3,CRKL,GFRA1,PTPN1,ABL1,SRC,AKT1S1,SNX9,LAT,MAVS,LYN,DAG1,ADAM8,YES1
